ts,agent_id,throttle,steer,brake,cvip,cvip_x,cvip_y,cvip_z,x,y,z,v,duration_game,duration_system,route_length,score_composed,score_penalty,score_route,status,scenario
538497,0,0.4269756376743316,0.0063105709850788,0.0,44.73206835748794,192.98757934570312,61.34292984008789,0.0018531417008489,193.5392608642578,16.614274978637695,0.0338113382458686,9.296758730950092,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538498,0,0.4081989526748657,0.0068866675719618,0.0,44.83100425542451,192.98374938964844,61.6741828918457,0.001849555876106,193.537109375,16.84660530090332,0.0338277444243431,9.293293047205497,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538499,0,0.3831359148025512,0.0061852042563259,0.0,44.930215193398496,192.9799041748047,62.0056266784668,0.001845626742579,193.53482055664065,17.07884979248047,0.0338420495390892,9.289834870625532,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538500,0,0.2837831676006317,0.0060782264918088,0.0,45.029741785527705,192.9760284423828,62.33729934692383,0.0018414687365293,193.5324249267578,17.311006546020508,0.0338544473052024,9.286372104574673,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538501,0,0.3286623358726501,0.0058705904521048,0.0,45.12962332742266,192.97218322753903,62.66924285888672,0.0018371962942183,193.5299224853516,17.54307746887207,0.0338651277124881,9.28291768219968,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538502,0,0.3296419680118561,0.0059384866617619,0.0,45.22987526436085,192.96832275390625,63.00147247314453,0.0018329238519072,193.52728271484372,17.775062561035156,0.0338743589818477,9.279464350083549,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538503,0,0.3095852732658386,0.0059202327392995,0.0,45.330535929157385,192.9644470214844,63.33402633666992,0.001828727661632,193.52452087402344,18.006961822509766,0.0338823311030864,9.276013415222598,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538504,0,0.1616887599229812,0.0056429798714816,0.0,45.43163240054646,192.9605865478516,63.66692733764648,0.0018246459076181,193.52169799804688,18.238771438598636,0.0338891223073005,9.272561538990532,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538505,0,0.2977250218391418,0.0045638070441782,0.0,45.53318109133931,192.9567108154297,64.00019836425781,0.0018207167740911,193.5187225341797,18.470497131347656,0.0338951088488101,9.269109771976607,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538506,0,0.2901943325996399,0.0018506227061152,0.0,45.6351728448768,192.9528350830078,64.33382415771484,0.0018171691335737,193.51564025878903,18.702133178710938,0.0339000709354877,9.265661813339689,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
