ts,agent_id,cvip,cvip_x,cvip_y,cvip_z
529487,0,500.4911885387494,198.76744079589844,-95.83265686035156,-499.8193664550781
529488,0,5.595579574090421,195.56744384765625,-90.83265686035156,0.09999999403953552
529489,0,5.592365059106882,195.56744384765625,-90.83265686035156,0.09540698677301407
529490,0,5.589577830706274,195.56744384765625,-90.83265686035156,0.08469131588935852
529491,0,5.587154487252182,195.56744384765625,-90.83265686035156,0.0693112164735794
529492,0,5.58490284657624,195.56744384765625,-90.83265686035156,0.05613723769783974
529493,0,5.583078219951395,195.56744384765625,-90.83265686035156,0.04550548270344734
529494,0,5.582027767701456,195.56744384765625,-90.83265686035156,0.03692970052361488
529495,0,5.581839537785531,195.56744384765625,-90.83265686035156,0.030015792697668076
529496,0,5.581937002716514,195.56744384765625,-90.83265686035156,0.024444427341222763
529497,0,5.582054312131681,195.56744384765625,-90.83265686035156,0.01995697058737278
529498,0,5.582115992201545,195.56744384765625,-90.83265686035156,0.01634414680302143
529499,0,5.582104629980321,195.56744384765625,-90.83265686035156,0.013436851091682911
529500,0,5.582061392693935,195.56744384765625,-90.83265686035156,0.011098288930952549
529501,0,5.58203731373542,195.56744384765625,-90.83265686035156,0.009217948652803898
529502,0,5.581991710267062,195.56744384765625,-90.83265686035156,0.007706718053668737
529503,0,5.581948395724954,195.56744384765625,-90.83265686035156,0.00649261474609375
529504,0,5.581915910632607,195.56744384765625,-90.83265686035156,0.0055175782181322575
529505,0,5.581894103986878,195.56744384765625,-90.83265686035156,0.004734840244054794
529506,0,5.581857788633585,195.56744384765625,-90.83265686035156,0.004106712061911821
529507,0,5.581852601613148,195.56744384765625,-90.83265686035156,0.003602867014706135
529508,0,5.581852851883691,195.56744384765625,-90.83265686035156,0.003198814345523715
529509,0,5.581844342228537,195.56744384765625,-90.83265686035156,0.002874908270314336
529510,0,5.581850665159098,195.56744384765625,-90.83265686035156,0.0026153563521802425
529511,0,5.581858257548936,195.56744384765625,-90.83265686035156,0.00240745535120368
529512,0,5.581851332686023,195.56744384765625,-90.83265686035156,0.0022409819066524506
529513,0,5.581859368672208,195.56744384765625,-90.83265686035156,0.0021076963748782873
529514,0,5.581867010920091,195.56744384765625,-90.83265686035156,0.0020010375883430243
529515,0,5.581874055145872,195.56744384765625,-90.83265686035156,0.0019157028291374445
529516,0,5.581874153846434,195.56744384765625,-90.83265686035156,0.0018474578391760588
529517,0,5.581879768039407,195.56744384765625,-90.83265686035156,0.00179290771484375
529518,0,5.58188466719281,195.56744384765625,-90.83265686035156,0.0017492675688117743
529519,0,5.58188889394076,195.56744384765625,-90.83265686035156,0.0017144393641501665
529520,0,5.581892507850435,195.56744384765625,-90.83265686035156,0.0016865539364516735
