ts,agent_id,x,y,z,v
526479,0,192.36241149902344,-86.26268005371094,0.5393258333206177,0.0
526480,0,192.36241149902344,-86.26268005371094,0.4919061064720154,0.0
526481,0,192.36241149902344,-86.26268005371094,0.4383743107318878,0.0
526482,0,192.36241149902344,-86.26268005371094,0.3787320554256439,0.0
526483,0,192.36241149902344,-86.26268005371094,0.31298086047172546,0.0
526484,0,192.36241149902344,-86.26268005371094,0.24112220108509064,0.0
526485,0,192.36241149902344,-86.26268005371094,0.16315768659114838,0.0
526486,0,192.36241149902344,-86.26268005371094,0.08290393650531769,0.0
526487,0,192.36241149902344,-86.26268005371094,0.026514854282140732,3.72501918321929e-08
526488,0,192.36241149902344,-86.26268005371094,-0.008726844564080238,8.487544682118608e-08
526489,0,192.36241149902344,-86.26268005371094,-0.029134521260857582,4.378310968645243e-08
526490,0,192.36241149902344,-86.26268005371094,-0.03932075574994087,8.641341713214087e-08
526491,0,192.36241149902344,-86.26268005371094,-0.041076697409152985,0.00028614633522888814
526492,0,192.36244201660156,-86.26265716552734,-0.03865550830960274,0.001162076421327025
526493,0,192.36241149902344,-86.26264190673828,-0.03404334932565689,0.00048530679559074207
526494,0,192.36241149902344,-86.26263427734375,-0.028247259557247162,0.00013507282621229213
526495,0,192.36241149902344,-86.26263427734375,-0.02195255272090435,4.451883701999922e-05
526496,0,192.36241149902344,-86.26263427734375,-0.015612220391631126,0.00012744598221534775
526497,0,192.36241149902344,-86.26263427734375,-0.009513778612017632,0.00016179085020260041
526498,0,192.36244201660156,-86.26264190673828,-0.0038280105218291283,0.00016985441697137108
526499,0,192.36244201660156,-86.26264190673828,0.0013550185831263661,0.00016480753137226956
526500,0,192.36244201660156,-86.26264190673828,0.005999984685331583,0.000153179192900795
526501,0,192.36244201660156,-86.26265716552734,0.01010765042155981,0.0001396672679896405
526502,0,192.36244201660156,-86.26265716552734,0.013701400719583035,0.0001247942679697368
526503,0,192.36244201660156,-86.26265716552734,0.016817854717373848,0.00011089006200975823
526504,0,192.36245727539062,-86.26266479492188,0.01950054056942463,9.800380623749119e-05
526505,0,192.36245727539062,-86.26266479492188,0.021795349195599556,8.606224426705459e-05
526506,0,192.36245727539062,-86.26266479492188,0.023747749626636505,7.527734789743444e-05
526507,0,192.36245727539062,-86.26266479492188,0.02540103904902935,6.582966979085959e-05
526508,0,192.36245727539062,-86.2626724243164,0.026795310899615288,5.744878342435671e-05
526509,0,192.36245727539062,-86.2626724243164,0.02796676568686962,5.020194629054379e-05
526510,0,192.36245727539062,-86.2626724243164,0.028947867453098297,4.366174047829734e-05
526511,0,192.36245727539062,-86.2626724243164,0.0297671128064394,3.8371739550504565e-05
526512,0,192.36245727539062,-86.2626724243164,0.030449332669377327,3.350545918221884e-05
526513,0,192.36245727539062,-86.2626724243164,0.03101608157157898,2.9354615831385182e-05
526514,0,192.36245727539062,-86.2626724243164,0.03148593753576279,2.552453052949761e-05
526515,0,192.36245727539062,-86.2626724243164,0.031874656677246094,2.2113366516861206e-05
526516,0,192.36245727539062,-86.2626724243164,0.032195623964071274,1.8588209439652235e-05
526517,0,192.36245727539062,-86.2626724243164,0.03246017545461655,1.6934654559385213e-05
526518,0,192.36245727539062,-86.2626724243164,0.03267795592546463,1.4326611179737826e-05
526519,0,192.36245727539062,-86.2626724243164,0.03285682573914528,1.2629554933256859e-05
526520,0,192.36245727539062,-86.2626724243164,0.033003728836774826,1.105810555733348e-05
526521,0,192.36245727539062,-86.2626724243164,0.033124085515737534,9.828015127734246e-06
526522,0,192.36245727539062,-86.2626724243164,0.033222541213035583,8.430033216933866e-06
526523,0,192.36245727539062,-86.2626724243164,0.033303145319223404,7.101738242689366e-06
526524,0,192.36245727539062,-86.2626724243164,0.033368948847055435,5.6204478101562556e-06
526525,0,192.36245727539062,-86.2626724243164,0.033422622829675674,5.1461660741842e-06
526526,0,192.36245727539062,-86.26268005371094,0.033466413617134094,4.554249046500465e-06
526527,0,192.36245727539062,-86.26268005371094,0.0334714874625206,4.0655445558413357e-07
526528,0,192.36245727539062,-86.26268005371094,0.0334848016500473,3.246328970197876e-07
526529,0,192.36245727539062,-86.26268005371094,0.03350048139691353,3.7903062844523755e-07
526530,0,192.36245727539062,-86.26268005371094,0.033516958355903625,4.117516300802106e-07
526531,0,192.36245727539062,-86.26268005371094,0.033533286303281784,4.443603651712118e-07
526532,0,192.36245727539062,-86.26268005371094,0.03354877233505249,3.5937540616040294e-07
526533,0,192.36245727539062,-86.26268005371094,0.0335630401968956,2.518999186534155e-07
526534,0,192.36245727539062,-86.26268005371094,0.03357597440481186,3.3818683200968766e-07
526535,0,192.36245727539062,-86.26268005371094,0.03358745574951172,2.116793866041289e-07
526536,0,192.36245727539062,-86.26268005371094,0.033597640693187714,2.2084744636982744e-07
526537,0,192.36245727539062,-86.26268005371094,0.03360656648874283,1.5699800136282912e-07
526538,0,192.36245727539062,-86.26268005371094,0.03361419588327408,1.4696443280660928e-07
526539,0,192.36245727539062,-86.26268005371094,0.03362075611948967,1.2735251665516316e-07
526540,0,192.36245727539062,-86.26268005371094,0.03362640365958214,1.6490504078268816e-07
526541,0,192.36245727539062,-86.26268005371094,0.033631209284067154,7.928367654697384e-08
526542,0,192.36245727539062,-86.26268005371094,0.033635254949331284,1.1858640789362739e-07
526543,0,192.36245727539062,-86.26268005371094,0.0336386114358902,4.2577821945796365e-08
526544,0,192.36245727539062,-86.26268005371094,0.0336386114358902,1.3393627025132938e-07
526545,0,192.36245727539062,-86.26268005371094,0.03364013507962227,1.357243059897106e-07
526546,0,192.36245727539062,-86.26268005371094,0.033641546964645386,6.432676254104486e-08
526547,0,192.36245727539062,-86.26268005371094,0.03364299610257149,4.317341882969867e-08
526548,0,192.36245727539062,-86.26268005371094,0.033644333481788635,3.566647914888704e-08
526549,0,192.36245727539062,-86.26268005371094,0.03364570438861847,1.8002651027025608e-07
526550,0,192.36245727539062,-86.26268005371094,0.033647000789642334,9.429838564865612e-08
526551,0,192.36245727539062,-86.26268005371094,0.03364814817905426,1.5055246367579057e-07
526552,0,192.36245727539062,-86.26268005371094,0.033649176359176636,2.3270615559473524e-08
526553,0,192.36245727539062,-86.26268005371094,0.033649176359176636,4.052567400039841e-08
526554,0,192.36245727539062,-86.26268005371094,0.03365089371800423,7.751986232903548e-08
526555,0,192.36245727539062,-86.26268005371094,0.03365089371800423,5.548512445871931e-08
526556,0,192.36245727539062,-86.26268005371094,0.03365215286612511,2.1513370147872085e-08
526557,0,192.36245727539062,-86.26268005371094,0.03365215286612511,3.3656491937791404e-08
526558,0,192.36245727539062,-86.26268005371094,0.03365215286612511,1.6586367449267768e-07
526559,0,192.36245727539062,-86.26268005371094,0.03365344926714897,9.374557417114123e-08
526560,0,192.36245727539062,-86.26268005371094,0.03365344926714897,1.0967413426457789e-07
526561,0,192.36245727539062,-86.26268005371094,0.03365344926714897,1.464079213628276e-07
526562,0,192.36245727539062,-86.26268005371094,0.03365344926714897,7.881414044626424e-08
526563,0,192.36245727539062,-86.26268005371094,0.03365344926714897,6.602919062578485e-08
526564,0,192.36245727539062,-86.26268005371094,0.03365344926714897,3.344364809828662e-08
526565,0,192.36245727539062,-86.26268005371094,0.03365344926714897,1.8672792919585397e-08
526566,0,192.36245727539062,-86.26268005371094,0.03365344926714897,8.219925505765148e-08
526567,0,192.36245727539062,-86.26268005371094,0.03365447744727135,4.589080624521793e-08
526568,0,192.36245727539062,-86.26268005371094,0.03365447744727135,9.84036942118042e-09
526569,0,192.36245727539062,-86.26268005371094,0.03365447744727135,7.318247705587009e-08
526570,0,192.36245727539062,-86.26268005371094,0.03365447744727135,5.939973269033946e-08
