ts,agent_id,x,y,z,v
537855,0,192.36241149902344,-86.26268005371094,0.5393258333206177,0.0
537856,0,192.36241149902344,-86.26268005371094,0.4919061064720154,0.0
537857,0,192.36241149902344,-86.26268005371094,0.4383743107318878,0.0
537858,0,192.36241149902344,-86.26268005371094,0.3787320554256439,0.0
537859,0,192.36241149902344,-86.26268005371094,0.31298086047172546,0.0
537860,0,192.36241149902344,-86.26268005371094,0.24112220108509064,0.0
537861,0,192.36241149902344,-86.26268005371094,0.16315768659114838,0.0
537862,0,192.36241149902344,-86.26268005371094,0.08290393650531769,0.0
537863,0,192.36241149902344,-86.26268005371094,0.026514854282140732,3.66784792216821e-08
537864,0,192.36241149902344,-86.26268005371094,-0.008726844564080238,8.498823736415132e-08
537865,0,192.36241149902344,-86.26268005371094,-0.029134521260857582,4.0641520877688976e-08
537866,0,192.36241149902344,-86.26268005371094,-0.03932075574994087,8.341873626067057e-08
537867,0,192.36241149902344,-86.26268005371094,-0.04107673466205597,0.00028597298198522345
537868,0,192.36244201660156,-86.26265716552734,-0.03865554556250572,0.0011592733839238796
537869,0,192.36241149902344,-86.26264190673828,-0.03404334932565689,0.00048337958837601233
537870,0,192.36241149902344,-86.26263427734375,-0.028247259557247162,0.000133679359150521
537871,0,192.36241149902344,-86.26263427734375,-0.02195255272090435,4.486438828065858e-05
537872,0,192.36241149902344,-86.26263427734375,-0.015612220391631126,0.0001274481976516214
537873,0,192.36241149902344,-86.26263427734375,-0.009513778612017632,0.0001613012006399726
537874,0,192.36244201660156,-86.26264190673828,-0.003827972337603569,0.0001695949381769922
537875,0,192.36244201660156,-86.26264190673828,0.0013550185831263661,0.00016433536157514593
537876,0,192.36244201660156,-86.26264190673828,0.006000022869557142,0.0001526518053496818
537877,0,192.36244201660156,-86.26265716552734,0.01010768860578537,0.0001391318817882274
537878,0,192.36244201660156,-86.26265716552734,0.013701400719583035,0.00012411447667648982
537879,0,192.36244201660156,-86.26265716552734,0.016817854717373848,0.0001106826724631709
537880,0,192.36245727539062,-86.26266479492188,0.01950054056942463,9.751665923841759e-05
537881,0,192.36245727539062,-86.26266479492188,0.021795349195599556,8.577914189215234e-05
537882,0,192.36245727539062,-86.26266479492188,0.023747749626636505,7.51345077764484e-05
537883,0,192.36245727539062,-86.26266479492188,0.02540103904902935,6.55240797591933e-05
537884,0,192.36245727539062,-86.2626724243164,0.026795310899615288,5.7305681928935176e-05
537885,0,192.36245727539062,-86.2626724243164,0.02796676568686962,5.007640695871029e-05
537886,0,192.36245727539062,-86.2626724243164,0.028947867453098297,4.3215697972198076e-05
537887,0,192.36245727539062,-86.2626724243164,0.0297671128064394,3.8314091157644475e-05
537888,0,192.36245727539062,-86.2626724243164,0.030449332669377327,3.337300191119953e-05
537889,0,192.36245727539062,-86.2626724243164,0.03101608157157898,2.914315838176424e-05
537890,0,192.36245727539062,-86.2626724243164,0.03148593753576279,2.5400666778605834e-05
537891,0,192.36245727539062,-86.2626724243164,0.031874656677246094,2.1884684479005792e-05
537892,0,192.36245727539062,-86.2626724243164,0.03219558671116829,1.8420486116204737e-05
537893,0,192.36245727539062,-86.2626724243164,0.03246017545461655,1.632393320039512e-05
537894,0,192.36245727539062,-86.2626724243164,0.03267795592546463,1.4023560175936871e-05
537895,0,192.36245727539062,-86.2626724243164,0.03285682573914528,1.2276580313857634e-05
537896,0,192.36245727539062,-86.2626724243164,0.033003728836774826,1.1207981073072672e-05
537897,0,192.36245727539062,-86.2626724243164,0.033124085515737534,9.554016078449158e-06
537898,0,192.36245727539062,-86.2626724243164,0.03322257846593857,7.988338985637538e-06
537899,0,192.36245727539062,-86.2626724243164,0.033303145319223404,6.907794333643648e-06
537900,0,192.36245727539062,-86.2626724243164,0.033368948847055435,5.491444718025215e-06
537901,0,192.36245727539062,-86.2626724243164,0.03342258557677269,5.023031847769727e-06
537902,0,192.36245727539062,-86.26268005371094,0.033466413617134094,4.497129805064436e-06
537903,0,192.36245727539062,-86.26268005371094,0.0334714874625206,5.014708184026391e-07
537904,0,192.36245727539062,-86.26268005371094,0.0334848016500473,3.223770096780845e-07
537905,0,192.36245727539062,-86.26268005371094,0.03350048139691353,3.4159521507296437e-07
537906,0,192.36245727539062,-86.26268005371094,0.033516958355903625,4.480141837520996e-07
537907,0,192.36245727539062,-86.26268005371094,0.033533286303281784,4.4107778938244035e-07
537908,0,192.36245727539062,-86.26268005371094,0.03354877233505249,3.5956628815541913e-07
537909,0,192.36245727539062,-86.26268005371094,0.0335630401968956,2.505238448049141e-07
537910,0,192.36245727539062,-86.26268005371094,0.03357597440481186,2.805442732766533e-07
537911,0,192.36245727539062,-86.26268005371094,0.03358745574951172,2.0899567539107912e-07
537912,0,192.36245727539062,-86.26268005371094,0.033597640693187714,1.9261172177473593e-07
537913,0,192.36245727539062,-86.26268005371094,0.033606529235839844,1.5486767098807103e-07
537914,0,192.36245727539062,-86.26268005371094,0.033614158630371094,2.2108974321742533e-07
537915,0,192.36245727539062,-86.26268005371094,0.033620718866586685,1.309872978221717e-07
537916,0,192.36245727539062,-86.26268005371094,0.03362636640667915,1.5929494789741247e-07
537917,0,192.36245727539062,-86.26268005371094,0.03363117203116417,7.484961720388582e-08
537918,0,192.36245727539062,-86.26268005371094,0.033635213971138,1.1829930598077852e-07
537919,0,192.36245727539062,-86.26268005371094,0.033638570457696915,6.587435544664957e-08
537920,0,192.36245727539062,-86.26268005371094,0.033638570457696915,7.744516695757773e-08
537921,0,192.36245727539062,-86.26268005371094,0.033640097826719284,2.2259694627881265e-08
537922,0,192.36245727539062,-86.26268005371094,0.03364143148064613,7.808244473365005e-08
537923,0,192.36245727539062,-86.26268005371094,0.033642884343862534,8.425183475117407e-08
537924,0,192.36245727539062,-86.26268005371094,0.03364429250359535,6.135928353828745e-08
537925,0,192.36245727539062,-86.26268005371094,0.033645667135715485,6.544358952124322e-08
537926,0,192.36245727539062,-86.26268005371094,0.03364696353673935,8.149151321346311e-08
537927,0,192.36245727539062,-86.26268005371094,0.03364810720086098,1.9539936395520977e-08
537928,0,192.36245727539062,-86.26268005371094,0.03364913910627365,8.226866198679155e-08
537929,0,192.36245727539062,-86.26268005371094,0.03364913910627365,1.181556016423866e-07
537930,0,192.36245727539062,-86.26268005371094,0.03365085646510124,1.1816175890447509e-07
537931,0,192.36245727539062,-86.26268005371094,0.03365085646510124,9.695570049796274e-09
537932,0,192.36245727539062,-86.26268005371094,0.03365215286612511,3.5446773484701154e-08
537933,0,192.36245727539062,-86.26268005371094,0.03365215286612511,1.8691785309220793e-08
537934,0,192.36245727539062,-86.26268005371094,0.03365215286612511,4.24694353591189e-08
537935,0,192.36245727539062,-86.26268005371094,0.03365344926714897,8.131242536695832e-08
537936,0,192.36245727539062,-86.26268005371094,0.03365344926714897,2.651041309376165e-08
537937,0,192.36245727539062,-86.26268005371094,0.03365344926714897,5.5043191036727934e-08
537938,0,192.36245727539062,-86.26268005371094,0.03365344926714897,9.7358696494074e-08
537939,0,192.36245727539062,-86.26268005371094,0.03365344926714897,5.1904890760262065e-09
537940,0,192.36245727539062,-86.26268005371094,0.03365344926714897,6.55922790544995e-09
537941,0,192.36245727539062,-86.26268005371094,0.03365344926714897,6.0324611831396095e-09
537942,0,192.36245727539062,-86.26268005371094,0.03365344926714897,5.883347471125868e-09
537943,0,192.36245727539062,-86.26268005371094,0.03365451842546463,6.194368894902819e-09
537944,0,192.36245727539062,-86.26268005371094,0.03365451842546463,6.199537707589074e-09
537945,0,192.36245727539062,-86.26268005371094,0.03365451842546463,5.388738496730514e-09
537946,0,192.36245727539062,-86.26268005371094,0.03365451842546463,4.951702505459091e-09
537947,0,192.36245727539062,-86.26268005371094,0.03365451842546463,4.3892879055267126e-08
537948,0,192.36245727539062,-86.26268005371094,0.03365451842546463,4.130847448614283e-09
537949,0,192.36245727539062,-86.26266479492188,0.03365619480609894,0.0013515489875313186
537950,0,192.36251831054688,-86.25653839111328,0.03353557363152504,0.3201691169362504
537951,0,192.3626708984375,-86.24253845214844,0.03333103284239769,0.6303407385447877
537952,0,192.36289978027344,-86.2209243774414,0.03309085592627525,0.9311120245022884
537953,0,192.36317443847656,-86.19197845458984,0.03284545987844467,1.2220572202350475
